date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:44	38556/38556	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2002:47:43%20GMT	https://www.careerhunter.io/tests/interests/take	F:/TOOLGG/tnt/www.careerhunter.io/tests/interests/take.html	(from )
09:47:44	213/213	---MCZ	200	added ('OK')	text/plain	etag:W/%2266163e84-134%22	https://www.careerhunter.io/robots.txt		(from )
09:47:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2010%20May%202024%2002:47:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/TOOLGG/tnt/www.googletagmanager.com/gtm.15445.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:47:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:47:45%20GMT	http://cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.css	F:/TOOLGG/tnt/cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.2.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:48:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:05%20GMT	http://cdn2.careerhunter.io/assets/wave-burger-menu-23593eb4bcf4bb8ab18e4731e7d0f3fead2a1a02713cf16fb6a07bdde1f71e3f.png	F:/TOOLGG/tnt/cdn2.careerhunter.io/assets/wave-burger-menu-23593eb4bcf4bb8ab18e4731e7d0f3fead2a1a02713cf16fb6a07bdde1f71e3f.4.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:48:05	2020/2020	---M--	200	added ('OK')	image/png	etag:%226362422e-19a2%22	https://cdn2.careerhunter.io/assets/wave-burger-menu-23593eb4bcf4bb8ab18e4731e7d0f3fead2a1a02713cf16fb6a07bdde1f71e3f.png	F:/TOOLGG/tnt/cdn2.careerhunter.io/assets/wave-burger-menu-23593eb4bcf4bb8ab18e4731e7d0f3fead2a1a02713cf16fb6a07bdde1f71e3f.png	(from https://www.careerhunter.io/tests/interests/take)
09:48:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:05%20GMT	http://cdn2.careerhunter.io/assets/slideout-c2397a7c2a27232811520b039b75eb93b02acdf0526963c27e806c55c46168ec.css	F:/TOOLGG/tnt/cdn2.careerhunter.io/assets/slideout-c2397a7c2a27232811520b039b75eb93b02acdf0526963c27e806c55c46168ec.css	(from https://www.careerhunter.io/tests/interests/take)
09:48:05	2967/2967	---MCZ	200	added ('OK')	text/css	etag:W/%22634811ea-3c3%22	https://cdn2.careerhunter.io/assets/slideout-c2397a7c2a27232811520b039b75eb93b02acdf0526963c27e806c55c46168ec.css	F:/TOOLGG/tnt/cdn2.careerhunter.io/assets/slideout-c2397a7c2a27232811520b039b75eb93b02acdf0526963c27e806c55c46168ec.css	(from https://www.careerhunter.io/tests/interests/take)
09:48:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:06%20GMT	http://cdn3.careerhunter.io/assets/main_tests-bd884139ec646feab4ac86d2f494e405033a3d476b5b9ac820fc8fbc6576c466.css	F:/TOOLGG/tnt/cdn3.careerhunter.io/assets/main_tests-bd884139ec646feab4ac86d2f494e405033a3d476b5b9ac820fc8fbc6576c466.8.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:48:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:06%20GMT	http://cdn0.careerhunter.io/assets/application-353dcd5078ea9b9428db0a401e52fca71d68824b66555302b545456e24759fb7.js	F:/TOOLGG/tnt/cdn0.careerhunter.io/assets/application-353dcd5078ea9b9428db0a401e52fca71d68824b66555302b545456e24759fb7.a.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:48:06	287504/287504	---MCZ	200	added ('OK')	text/css	etag:W/%2265699ec2-a6af%22	https://cdn3.careerhunter.io/assets/main_tests-bd884139ec646feab4ac86d2f494e405033a3d476b5b9ac820fc8fbc6576c466.css	F:/TOOLGG/tnt/cdn3.careerhunter.io/assets/main_tests-bd884139ec646feab4ac86d2f494e405033a3d476b5b9ac820fc8fbc6576c466.css	(from https://www.careerhunter.io/tests/interests/take)
09:48:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:07%20GMT	http://cdn1.careerhunter.io/packs/vendors.3e9e666b1b937736f649.js	F:/TOOLGG/tnt/cdn1.careerhunter.io/packs/vendors.3e9e666b1b937736f649.c.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:48:08	179699/179699	---MCZ	200	added ('OK')	application/javascript	etag:W/%22637dfc6f-ba71%22	https://cdn0.careerhunter.io/assets/application-353dcd5078ea9b9428db0a401e52fca71d68824b66555302b545456e24759fb7.js	F:/TOOLGG/tnt/cdn0.careerhunter.io/assets/application-353dcd5078ea9b9428db0a401e52fca71d68824b66555302b545456e24759fb7.js	(from https://www.careerhunter.io/tests/interests/take)
09:48:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:09%20GMT	http://cdn2.careerhunter.io/packs/js/affiliates~career_tests~educators-c09b6bb3535aad356efa.chunk.js	F:/TOOLGG/tnt/cdn2.careerhunter.io/packs/js/affiliates_career_tests_educators-c09b6bb3535aad356efa.chunk.e.delayed	(from https://www.careerhunter.io/tests/interests/take)
09:48:09	169515/169515	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265b366a1-c81f%22	https://cdn1.careerhunter.io/packs/vendors.3e9e666b1b937736f649.js	F:/TOOLGG/tnt/cdn1.careerhunter.io/packs/vendors.3e9e666b1b937736f649.js	(from https://www.careerhunter.io/tests/interests/take)
09:48:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:10%20GMT	http://cdn3.careerhunter.io/packs/js/career_tests-70630dbdac9e86709e45.js	F:/TOOLGG/tnt/cdn3.careerhunter.io/packs/js/career_tests-70630dbdac9e86709e45.js	(from https://www.careerhunter.io/tests/interests/take)
09:48:11	239379/239379	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265b366a1-11fdc%22	https://cdn2.careerhunter.io/packs/js/affiliates~career_tests~educators-c09b6bb3535aad356efa.chunk.js	F:/TOOLGG/tnt/cdn2.careerhunter.io/packs/js/affiliates_career_tests_educators-c09b6bb3535aad356efa.chunk.js	(from https://www.careerhunter.io/tests/interests/take)
09:48:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:12%20GMT	http://cdn0.careerhunter.io/assets/close-symbol-71c54c6eb1248796828d48d56521ba3e71673cfd0209466a0d491cfce9d98056.png	F:/TOOLGG/tnt/cdn0.careerhunter.io/assets/close-symbol-71c54c6eb1248796828d48d56521ba3e71673cfd0209466a0d491cfce9d98056.png	(from https://cdn2.careerhunter.io/assets/slideout-c2397a7c2a27232811520b039b75eb93b02acdf0526963c27e806c55c46168ec.css)
09:48:13	418212/418212	---MCZ	200	added ('OK')	text/css	etag:W/%2265b36661-e0f9%22	https://cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.css	F:/TOOLGG/tnt/cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.css	(from https://www.careerhunter.io/tests/interests/take)
09:48:13	746269/746269	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265b366a1-24ac3%22	https://cdn3.careerhunter.io/packs/js/career_tests-70630dbdac9e86709e45.js	F:/TOOLGG/tnt/cdn3.careerhunter.io/packs/js/career_tests-70630dbdac9e86709e45.js	(from https://www.careerhunter.io/tests/interests/take)
09:48:14	341/341	---M--	200	added ('OK')	image/png	etag:%2260defe57-155%22	https://cdn0.careerhunter.io/assets/close-symbol-71c54c6eb1248796828d48d56521ba3e71673cfd0209466a0d491cfce9d98056.png	F:/TOOLGG/tnt/cdn0.careerhunter.io/assets/close-symbol-71c54c6eb1248796828d48d56521ba3e71673cfd0209466a0d491cfce9d98056.png	(from https://cdn2.careerhunter.io/assets/slideout-c2397a7c2a27232811520b039b75eb93b02acdf0526963c27e806c55c46168ec.css)
09:48:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20May%202024%2002:48:14%20GMT	http://cdn3.careerhunter.io/assets/upgrade/card1-e8d9fc6597cc3bf5c2dd391767d24c6f5a3c6e0b724c0401f9882d7eb5d75f36.png	F:/TOOLGG/tnt/cdn3.careerhunter.io/assets/upgrade/card1-e8d9fc6597cc3bf5c2dd391767d24c6f5a3c6e0b724c0401f9882d7eb5d75f36.14.delayed	(from https://cdn3.careerhunter.io/assets/main_tests-bd884139ec646feab4ac86d2f494e405033a3d476b5b9ac820fc8fbc6576c466.css)
09:48:16	31496/31496	---M--	200	added ('OK')	image/png	etag:%22614849ab-7b08%22	https://cdn3.careerhunter.io/assets/upgrade/card1-e8d9fc6597cc3bf5c2dd391767d24c6f5a3c6e0b724c0401f9882d7eb5d75f36.png	F:/TOOLGG/tnt/cdn3.careerhunter.io/assets/upgrade/card1-e8d9fc6597cc3bf5c2dd391767d24c6f5a3c6e0b724c0401f9882d7eb5d75f36.png	(from https://cdn3.careerhunter.io/assets/main_tests-bd884139ec646feab4ac86d2f494e405033a3d476b5b9ac820fc8fbc6576c466.css)
